ID,Name,Type,URL,DateAdded
1,收藏栏,folder,,2019-04-01T02:33:43.433211Z
2,其它收藏,folder,,2019-04-01T02:33:43.433273Z
3,手机收藏夹,folder,,2019-04-01T02:33:43.433275Z
58,百度搜索,url,http://baidu.dbcndh.com/,1601-01-01T00:00:00Z
59,大白菜官网,url,http://www.dabaicai.com/,1601-01-01T00:00:00Z
60,黄历网,url,http://www.huangli.com/?d,1601-01-01T00:00:00Z
61,京东购物,url,http://jingdong.dbcndh.com/,1601-01-01T00:00:00Z
62,热点新闻,url,http://xinwen.dbcndh.com/,1601-01-01T00:00:00Z
63,天猫购物,url,http://tmall.dbcndh.com/,1601-01-01T00:00:00Z
64,淘宝,url,http://tao.dbcndh.com/,1601-01-01T00:00:00Z
65,网址导航,url,http://daohang.dbcndh.com/,1601-01-01T00:00:00Z
66,游戏娱乐,url,http://yule.dbcndh.com/,1601-01-01T00:00:00Z
